on x=-6..41,y=-12..39,z=-10..42
on x=-33..13,y=-34..15,z=3..47
on x=-6..47,y=-7..38,z=-23..28
on x=-10..37,y=-3..43,z=-11..38
on x=-42..7,y=-39..9,z=-29..22
on x=-11..37,y=-36..11,z=-34..12
on x=-31..13,y=-12..40,z=1..49
on x=-23..28,y=-7..44,z=-39..12
on x=-1..44,y=-48..3,z=-37..14
on x=0..49,y=-27..26,z=-33..12
off x=-13..0,y=35..45,z=6..15
on x=-41..6,y=-17..32,z=-22..29
off x=-25..-12,y=-44..-32,z=-19..0
on x=-31..21,y=-6..47,z=-2..45
off x=1..17,y=-13..-2,z=-48..-34
on x=-40..13,y=-4..48,z=-29..17
off x=17..29,y=-39..-30,z=-15..4
on x=-20..24,y=-18..27,z=-39..7
off x=7..20,y=-26..-12,z=-26..-8
on x=-37..8,y=-17..30,z=-14..38
on x=63674..72237,y=20683..37531,z=-35064..-16872
on x=-51990..-35385,y=-78503..-48525,z=-752..35650
on x=27632..33313,y=35477..62597,z=-58213..-50913
on x=65890..74495,y=-45869..-13775,z=-39225..-14722
on x=-275..16102,y=-72595..-60586,z=-53397..-23273
on x=-69158..-42553,y=45370..61812,z=-42421..-18663
on x=-78654..-58419,y=-30915..7322,z=-51094..-33929
on x=-1256..22317,y=37707..59544,z=-63046..-53164
on x=26513..44666,y=-55290..-34887,z=-62641..-49964
on x=-38394..-32826,y=20123..52430,z=-74302..-53761
on x=-76260..-48290,y=-35301..-11819,z=-36430..-22459
on x=54855..74218,y=-45492..-25796,z=5423..34586
on x=-60859..-42702,y=37095..58797,z=-42035..-17299
on x=25061..44950,y=-11087..4566,z=-76090..-58040
on x=-7719..1196,y=-84740..-56268,z=18595..40418
on x=37771..58776,y=34417..62574,z=-47992..-23102
on x=-21356..1356,y=-63790..-54279,z=32547..55070
on x=-8345..19180,y=-53204..-27521,z=-68280..-61850
on x=67534..81624,y=-31159..-14948,z=1049..12579
on x=55346..68022,y=7885..30928,z=-44155..-34352
on x=36305..74237,y=41145..52234,z=-42601..-28496
on x=-90070..-73989,y=-23814..-9394,z=14042..31716
on x=-84427..-54677,y=8904..30283,z=-1322..33502
on x=-71181..-41802,y=30646..57075,z=35746..53147
on x=38541..52970,y=-20791..-7785,z=51108..80150
on x=59180..82388,y=-3853..32838,z=-24341..-5768
on x=-56690..-39206,y=8232..29724,z=40440..64896
on x=21608..43080,y=60567..71466,z=40486..52408
on x=60372..77998,y=-28305..3238,z=14836..37414
on x=-4093..35198,y=10164..32918,z=-85387..-73526
on x=-43292..-12636,y=-9696..12766,z=64552..80970
on x=-28102..1261,y=-70258..-57055,z=-47806..-31344
on x=-63701..-56970,y=-47663..-38224,z=34022..46913
on x=-38997..-7735,y=-20643..-11524,z=-76648..-69429
on x=-511..8645,y=42010..62268,z=-58666..-40526
on x=16306..47865,y=-64952..-45421,z=53087..54589
on x=-16279..2136,y=-61390..-44811,z=50710..64292
on x=-7745..20078,y=386..12000,z=68727..90088
on x=64690..73403,y=-24946..-7208,z=-37627..-17433
on x=-90968..-67687,y=17270..37677,z=-13992..-2525
on x=18861..37721,y=-86406..-68095,z=-23372..-3258
on x=41065..48438,y=54874..73195,z=-283..27298
on x=45205..54225,y=-67863..-30873,z=-54709..-22614
on x=-10233..-3001,y=15582..31889,z=57592..89392
on x=-35101..-13894,y=-70592..-43271,z=37482..47874
on x=10843..37299,y=27094..49883,z=54316..68303
on x=56557..93573,y=-25293..2359,z=24320..47118
on x=17766..33710,y=56863..70640,z=15156..29617
on x=10910..21590,y=42930..65065,z=57606..76820
on x=-60175..-28682,y=928..18831,z=-65938..-54841
on x=-78055..-49879,y=34994..64428,z=-2418..2276
on x=59141..65590,y=33452..65433,z=-12600..-10439
